Asian,,Asia,,,
Brain,,Not a Country,,,
Ran,,Not a Country,,,
Berlin,capital,Germany,,,
Ã…land Islands,spelling,Åland Islands,,,
Afghan,spelling,Afghanistan,,,
"Afghanistan, Islamic State of",spelling,Afghanistan,,,
Albanian,local,Albania,,,
Algerian,,Algeria,,,
American,local,United States,,,
Andorran,,Andorra,,,
Angolan,,Angola,,,
Argentine,,Argentina,,,
Argentinia,,Argentina,,,
Armenian,,Armenia,,,
Aruban,,Aruba,,,
Australian,,Australia,,,
Austrian,local,Austria,,,
Austria,,Austria,,,
"Bahamas, The",spelling,Bahamas,,,
Bahamian,,Bahamas,,,
Bahraini,,Bahrain,,,
Baltic German,,Germany,,,
Baltic Russian,,Russia,,,
Bangladeshi,,Bangladesh,,,
Barbadian,,Barbados,,,
Belarusian,,Belarus,,,
Belgian,local,Belgium,,,
Belizeans,,Belize,,,
Bermudians,,Bermuda,,,
Bolivia,spelling,"Bolivia, Plurinational State of",,,
Bosnia Herzegovina,spelling,Bosnia and Herzegovina,,,
Bosniaks,,Bosnia and Herzegovina,,,
Botswana,,Botswana,,,
Brazilian,local,Brazil,,,
Breton,,France,,,
British,,United Kingdom,,,
British Indian Ocean Ter,spelling,British Indian Ocean Territory,,,
British Virgin Islanders,,British Virgin Island,,,
Brunei,spelling,Brunei Darussalam,,,
Bulgarian,local,Bulgaria,,,
Burkinabès,,Burkina Faso,,,
Burmese,,Burma,,,
Burundian,,Burundi,,,
C\xc3\xb4te d'Ivoire,spelling,Côte d'Ivoire,,,
C\xc3\xb4te d\xe2\x80\x99Ivoire,spelling,Côte d'Ivoire,,,
C\xf4te d'Ivoire,spelling,Côte d'Ivoire,,,
Cambodian,,Cambodia,,,
Cambodia,,Cambodia,,,
Cameroonians,,Cameroon,,,
Canadians,,Canada,,,
Cape Verdeans,,Cape Verde,,,
Central African Republic,spelling,Central African Republic,,,
Chadian,,Chad,,,
Chad,,Chad,,,
Chilean,,Chili,,,
"China, Hong Kong SAR",spelling,Hong Kong,,,
"China, Hong Kong Special Administrative Region",spelling,Hong Kong,,,
"China, Macao SAR",spelling,Macao,,,
"China, Macao Special Administrative Region",spelling,Macao,,,
"China, People's Republic of",spelling,China,,,
China: Hong Kong SAR,spelling,Hong Kong,,,
China: Macao SAR,spelling,Macao,,,
Chinese,local,China,,,
"Christmas Island, Aust",spelling,Christmas Island,#true?,,
"Cocos, Keeling Islands",spelling,"Cocos (Keeling) Islands",,,
Colombian,,Colombia,,,
Comorian,,Comoro Islands,,,
Congo Democratic Republic,spelling,"Congo, The Democratic Republic of the",,,
"Congo, Democratic Republic",spelling,"Congo, The Democratic Republic of the",,,
"Congo, Democratic Republic of",spelling,"Congo, The Democratic Republic of the",,,
"Congo, Democratic Republic of the",spelling,Congo, The Democratic Republic of the",,,
"Congo, Republic",spelling,Congo,,,
Congolese,,Congo,,,
Cook Islands,spelling,Cook Islands,,,
Cote d'Ivoire,spelling,Côte d'Ivoire,,,
Croatian,local,Croatia,,,
Cubans,,Cuba,,,
Cypriot,,Cyprus,,,
Czech,local,Czech Republic,,,
Czech Republic,spelling,Czech Republic,,,
Czechoslovakia,spelling,"Czechoslovakia, Czechoslovak Socialist Republic",,,
Czechoslovakia (former),spelling,"Czechoslovakia, Czechoslovak Socialist Republic",,,
"Czechoslovakia, Czechoslovak Socialist Republic",withdrawn,CSK,,,
"Czechoslovakia, former",spelling,"Czechoslovakia, Czechoslovak Socialist Republic",,,
Danish,local,Denmark,,,
Democratic People's Republic of Korea,spelling,"Korea, Democratic People's Republic of",,,
Democratic Republic of Congo,spelling,"Congo, The Democratic Republic of the",,,
Democratic Republic of the Congo,spelling,"Congo, The Democratic Republic of the",,,
Democratic Yemen (former),spelling,"Yemen, Democratic, People's Democratic Republic of",,,
"Democratic Yemen, former",spelling,"Yemen, Democratic, People's Democratic Republic of",,,
Dominican Republic,spelling,Dominican Republic,,,
Dutch,local,Netherlands,,,
East Timor,withdrawn,TMP,,,
Ecuadorian,,Ecuador,,,
Ecuador,,Ecuador,,,
"Egypt, Arab Republic",spelling,Egypt,,,
Egyptian,,Egypt,,,
Egypt,,Egypt,,,
Emiratis,,United Arab Emirates,,,
England,local,United Kingdom,,,
English,local,United Kingdom,,,
Eritrean,,Eritrea,,,
Estonian,local,Estonia,,,
Ethiopia PDR,spelling,Ethiopia,,,
"Ethiopia, from 1993",spelling,Ethiopia,,,
"Ethiopia, up to 1993",spelling,Ethiopia,true?,,
Ethiopian,,Ethiopia,,,
Faeroe Islands,spelling,Faroe Islands,,,
"Falkland Island, Malvinas",spelling,"Falkland Islands (Malvinas)",,,
Falkland Islands,spelling,"Falkland Islands (Malvinas)",,,
"Falkland Islands, Malvinas",spelling,"Falkland Islands (Malvinas)",,,
Faroese,,Faroe Islands,,,
Fijians,,Fiji Islands,,,
Filipinos,,Philippines,,,
Finnish,local,Finland,,,
Fmr Federated Republic of Germany,spelling,"Germany, Federal Republic of",,,
Former Czechoslovakia,spelling,"Czechoslovakia, Czechoslovak Socialist Republic",,,
Former Ethiopia,spelling,Ethiopia,true?,,
Former USSR,spelling,"USSR, Union of Soviet Socialist Republics",,,
Former Yugoslavia,spelling,"Yugoslavia, Socialist Federal Republic of",,,
French,inhab,France,,,
French Southern Terr,spelling,French Southern Territories,,,
Gambia The,spelling,Gambia,,,
"Gambia, The",spelling,Gambia,,,
Georgians,,Georgia,,,
German,inhab,Germany,,,
German Democratic Republic,withdrawn,DDR,,,
German Democratic Republic (former),spelling,German Democratic Republic,,,
"German Democratic Republic, former",spelling,German Democratic Republic,,,
"Germany, Federal Republic of",withdrawn,DEU,,,
"Germany, Federated Republic of before 3.10.1990",spelling,"Germany, Federal Republic of",,,
"Germany, The former German Democratic Republic",spelling,German Democratic Republic,,,
Ghanaians,,Ghana,,,
Ghana,,Ghana,,,
Gibraltar,,Gibraltar,,,
Greek,local,Greece,,,
Greenland,,Greenland,,,
Guatemalans,,Guatemala,,,
Guianese (French),,Guiana,,,
Guinea-Bissau nationals,,Guiana,,,
Guineans,,Guiana,,,
Guyanese,,Guyana,,,
Haitians,,Haiti,,,
Holland,local,Netherlands,,,
Holy See,spelling,"Holy See (Vatican City State)",,,
"Holy See, Vatican",spelling,"Holy See (Vatican City State)",,,
Hondurans,,Honduras,,,
Hong Kong,,Hong Kong,,,
Hong Kong SAR,spelling,Hong Kong,,,
"Hong Kong SAR, China",spelling,Hong Kong,,,
"Hong Kong, China",spelling,Hong Kong,,,
Hungarian,local,Hungary,,,
Icelanders,,Iceland,,,
Iceland,,Iceland,,,
Indonesian,local,Indonesia,,,
Iran,spelling,"Iran, Islamic Republic of",,,
"Iran, Islamic Republic",spelling,"Iran, Islamic Republic of",,,
"Iran, Islamic Republic of",spelling,"Iran, Islamic Republic of",,,
Iran(Islamic Republic of),spelling,"Iran, Islamic Republic of",,,
Iranians (Persians),,"Iran, Islamic Republic of",,,
Iraq,,Iraq,,,
Irish,,Ireland,,,
Islamic Republic of Iran,spelling,"Iran, Islamic Republic of",,,
Israelis,,Israel,,,
Italian,local,Italy,,,
Italiano,local,Italy,,,
Ivoirians,,Côte d'Ivoire,,,
Ivory Coast,spelling,Côte d'Ivoire,,,
Jamaicans,,Jamaica,,,
Japanese,inhab,Japan,,,
Jordanians,,Jordan,,,
Jordan,,Jordan,,,
Kazakh,local,Kazakhstan,,,
Kenyans,,Kenya,,,
Korea DPR,spelling,"Korea, Democratic People's Republic of",,,
Korea Rep,spelling,"Korea, Republic of",,,
"Korea, Democratic Republic",spelling,"Korea, Democratic People's Republic of",,,
"Korea, DemocraticPpl's.Republic",spelling,"Korea, Democratic People's Republic of",,,
"Korea, Republic",spelling,"Korea, Republic of",,,
"Korea, Republic of",spelling,"Korea, Republic of",,,
"Korea,DemocraticPpl's.Republic",spelling,"Korea, Democratic People's Republic of",,,
Korean,local,Korea,,,
Kuwaitis,,Kuwait,,,
Lao,,Lao People's Democratic Republic,,,
Lao P.D.R.,spelling,Lao People's Democratic Republic,,,
Lao PDR,spelling,Lao People's Democratic Republic,,,
Lao People's Democratic Republic,spelling,Lao People's Democratic Republic,,,
Latvian,local,Latvia,,,
Lebanese,,Lebanon,,,
Liberians,,Liberia,,,
Libya,spelling,Libya,,,
Libyan Arab Jamah.,spelling,Libya,,,
Libyans,,Libya,,,
Liechtensteiners,,Liechtenstein,,,
Lithuanian,local,Lithuania,,,
Luxembourgers,,Luxembourg,,,
"Macao SAR, China",spelling,Macao,,,
"Macao, China",spelling,Macao,,,
Macau SAR,spelling,Macao,,,
"Macau, China",spelling,Macao,,,
"Macau, SAR",spelling,Macao,,,
Macedonia,spelling,"Macedonia, Republic of",,,
"Macedonia, FYR",spelling,"Macedonia, Republic of",,,
"Macedonia, The former Yugoslav Republic of",spelling,"Macedonia, Republic of",,,
Macedonians,,"Macedonia, Republic of",,,
Madagascar,,Madagascar,,,
Malaysian,,Malaysia,,,
Malawian,,Malawi,,,
Maldivian,,Maldives,,,
Malians,,Mali,,,
Maltese,,Malta,,,
Mauritania,,Mauritania,,,
Mexicans,,Mexico,,,
"Micronesia, Federated States of",spelling,"Micronesia, Federated States of",,,
"Micronesia, Federated Sts.",spelling,"Micronesia, Federated States of",,,
"Micronesia, FederatedStates of",spelling,"Micronesia, Federated States of",,,
Moldova,spelling,"Moldova, Republic of",,,
Moldovans,,"Moldova, Republic of",,,
Mongolians,,Mongolia,,,
Mongolia,,Mongolia,,,
Montenegrins,,Montenegro,,,
Moroccans,,Morocco,,,
Morocco,,Morocco,,,
Morrocco,,Morocco,,,
Morroco,,Morocco,,,
Mozambique,,Mozambique,,,
Namibians,,Namibia,,,
Nepalese,,Nepal,,,
Neth. Antilles,spelling,Netherlands Antilles,,,
Netherlands Antilles,withdrawn,ANT,,,
Netherlands Antilles and Aruba,spelling,Netherlands Antilles,,,True?
New Zealander,,New Zealand,,,
Nicaraguan,,Nicaragua,,,
Nigerian,,Nigeria,,,
Niger,,Niger,,,
Nigerien,,Nigeria,,,
Norwegian,local,Norway,,,
Occ. Palestinian Terr.,spelling,"Palestinian Territory, Occupied",,,
Oman,,Oman,,,
Pacific Island,spelling,"Pacific Islands (trust territory)",,,
Pacific Islands (trust territory),withdrawn,PCI,,,
"Pacific Islands, Trust Territory",spelling,"Pacific Islands (trust territory)",,,
Pakistani,,Pakistan,,,
Palauan,,Republic of Palau,,,
Palestine,spelling,"Palestinian Territory, Occupied",#true?,,
Palestinian Authority,spelling,"Palestinian Territory, Occupied",#true?,,
Palestinian Territories,spelling,"Palestinian Territory, Occupied",,,
Palestinian,,"Palestinian Territory, Occupied",,,
Panamanians,,Panama,,,
Papua New Guineans,,Papua New Guinea,,,
Paraguayans,,Paraguay,,,
Peru,,Peru,,,
Pitcairn Islands,spelling,Pitcairn,,,
Poles,,Poland,,,
Polish,local,Poland,,,
Portuguese,inhab,Portugal,,,
Puerto Rican,,Puerto Rico,,,
RÃ©union,spelling,Reunion,fix,,
Republic of Korea,spelling,"Korea, Republic of",,,
Republic of Moldova,spelling,"Moldova, Republic of",,,
Réunionnais,,Réunion,,,
Romanian,local,Romania,,,
Russia,spelling,Russian Federation,true?,,
Russian,local,Russia,,,
Rwandans,,Rwanda,,,
Saint Helena,spelling,"Saint Helena, Ascension and Tristan da Cunha",#true?,,
Saint Helena and Depend.,spelling,"Saint Helena, Ascension and Tristan da Cunha",,,
Saint Kitts-Nevis,spelling,Saint Kitts and Nevis,,,
Saint Lucia ),spelling,Saint Lucia,,,
"Saint Martin, French part",spelling,"Saint Martin (French part)",,,
Saint Pierre-Miquelon,spelling,Saint Pierre and Miquelon,,,
Saint Vincent and Grenadines,spelling,Saint Vincent and the Grenadines,,,
Saint Vincent-Grenadines,spelling,Saint Vincent and the Grenadines,,,
Salvadorans,,Salvador,,,
São Tomé and Príncipe,,São Tomé and Príncipe,,,
Saudis,,Saudi Arabia,,,
Scotland,local,United Kingdom,,,
Scots,,United Kingdom,,,
Scottish,local,United Kingdom,,,
Senegalese,,Senegal,,,
Serbia and Montenegro,withdrawn,SCG,,,
Serbian,local,Serbia,,,
Serbs,,Serbia,,,
Sierra Leonean,,Sierra Leone,,,
Singaporean,,Singapore,,,
Slovak,local,Slovakia,,,
Slovaks,,Slovakia,,,
Slovenes,,Slovenia,,,
Slovenian,local,Slovenia,,,
Solomon Islands,spelling,Solomon Islands,,,
Somalis,,Somalia,,,
South African,,South Africa,,,
Spaniard,,Spain,,,
Spanish,local,Spain,,,
Sri Lankans,,Sri Lanka,,,
St Lucians,,Saint Lucia,,,
Sudanese,,Sudan,,,
Surinamese,,Suriname,,,
Svalbard and Jan Mayen Islands,spelling,Svalbard and Jan Mayen,,,
Swedes,,Sweden,,,
Swedish,local,Sweden,,,
Swiss,local,Switzerland,,,
Syria,spelling,Syrian Arab Republic,,,
Syrian,,Syrian Arab Republic,,,
T.F.Y.R. Macedonia,spelling,"Macedonia, Republic of",,,
T.F.Yug.Republic Macedonia,spelling,"Macedonia, Republic of",,,
Taiwanese,,Taiwan,,,
Tanzania,spelling,"Tanzania, United Republic of",,,
TFYR Macedonia,spelling,"Macedonia, Republic of",,,
TFYR of Macedonia,spelling,"Macedonia, Republic of",,,
Thai,local,Thailand,,,
The f. Yugosl. Rep of Macedonia,spelling,"Macedonia, Republic of",,,
The Former Yugoslav Republic of Macedonia,spelling,"Macedonia, Republic of",,,
The Netherlands,local,Netherlands,,,
Tibetans,,Tibet,,,
Timor Leste,spelling,Timor-Leste,,,
Tobagonians,,Trinidad and Tobago,,,
Trinidadians,,Trinidad and Tobago,,,
Tunisians,,Tunisia,,,
Turkish,local,Turkey,,,
Turks,,Turkey,,,
Turks and Caicos Islands,spelling,Turks and Caicos Islands,,,
Tuvaluans,,Tuvalu,,,
U.K.,local,United Kingdom,,,
U.S.,spelling,United States,,,
Ugandans,,Uganda,,,
Ukranian,local,Ukraine,,,
Union of Soviet Socialist Republics (former),spelling,"USSR, Union of Soviet Socialist Republics",,,
"Union of Soviet Socialist Republics, former",spelling,"USSR, Union of Soviet Socialist Republics",,,
United Kingdom of Great Britain & Northern Ireland,spelling,United Kingdom,,,
United Republic of Tanzania,spelling,"Tanzania, United Republic of",,,
United RepublicTanzania,spelling,"Tanzania, United Republic of",,,
"United States of America, pacific Islands",spelling,US Miscellaneous Pacific Islands,,,
United States Virgin Island,spelling,"Virgin Islands, U.S.",,,
United States Virgin Islands,spelling,"Virgin Islands, U.S.",,,
Uruguayan,,Uruguay,,,
US Miscellaneous Pacific Islands,spelling,US Miscellaneous Pacific Islands,,,
US Miscellaneous Pacific Islands,withdrawn,PUS,,,
US Virgin Islands,spelling,"Virgin Islands, U.S.",,,
Usa,spelling,United States,,,
USA,spelling,United States,,,
Ussr,spelling,"USSR, Union of Soviet Socialist Republics",,,
"USSR, Union of Soviet Socialist Republics",withdrawn,SUN,,,
Uzbek,local,Uzbekistan,,,
Vanuatuans,,Republic of Vanuatu,,,
Venezuela,spelling,"Venezuela, Bolivarian republic of",,,
"Venezuela, Bolivarian Republic of",spelling,"Venezuela, Bolivarian republic of",,,
"Venezuela, RB",spelling,"Venezuela, Bolivarian republic of",,,
Venezuelan,,"Venezuela, Bolivarian republic of",,,
"Viet Nam, Democratic Republic of",spelling,Viet Nam,,,
Vietnam,spelling,Viet Nam,,,
Vietnamese,,Viet Nam,,,
"Virgin Islands, US",spelling,"Virgin Islands, U.S.",,,
Wake Is,spelling,Wake Island,,,
Wake Island,withdrawn,WAK,,,
Wallis & Futuna Islands,spelling,Wallis and Futuna,,,
Wallis and Futuna Islands,spelling,Wallis and Futuna,,,
Welsh,,United Kingdom,,,
Yemen Arab Republic (former),spelling,Yemen,,,
"Yemen Arab Republic, former",spelling,Yemen,,,
"Yemen, Democratic, People's Democratic Republic of",withdrawn,YMD,,,
"Yemen, Republic",spelling,Yemen,,,
"Yemen, Republic of",spelling,Yemen,,,
"Yemen, The former Democratic",spelling,Yemen,,,
"Yemen, Yemen Arab Republic",withdrawn,YEM,,,
Yemen: Former Democratic Yemen,spelling,Yemen,,,
Yemen: Former Yemen Arab Republic,spelling,Yemen,,,
Yemenis,,Yemen,,,
Yemen,,Yemen,,,
Yugoslav SFR,spelling,"Yugoslavia, Socialist Federal Republic of",,,
Yugoslavia,spelling,"Yugoslavia, Socialist Federal Republic of",,,
Yugoslavia (former Socialist Federal Republic),spelling,"Yugoslavia, Socialist Federal Republic of",,,
"Yugoslavia, former Socialist Federal Republic",spelling,"Yugoslavia, Socialist Federal Republic of",,,
"Yugoslavia, Socialist Federal Republic of",withdrawn,YUG,,,
"Yugoslavia, The former Socialist Federated Republic of",spelling,"Yugoslavia, Socialist Federal Republic of",,,
Zambian,,Zambia,,,
Zimbabwean,,Zimbabwe,,,